Дата,Категория,Продукт,Цена,Количество,Выручка,Регион,Тип клиента
2023-01-03,Дом и сад,Посуда,16410,4,65640,Казань,Новый
2024-10-01,Дом и сад,Мебель,43554,7,304878,Новосибирск,Новый
2023-09-17,Электроника,Наушники,589,1,589,Екатеринбург,Новый
2023-10-29,Одежда,Футболка,72116,1,72116,СПб,Новый
2024-06-11,Спорт,Велосипед,32348,3,97044,Екатеринбург,Новый
2024-03-02,Книги,Роман,92741,3,278223,Казань,Новый
2023-12-27,Спорт,Мяч,29232,3,87696,СПб,Новый
2023-11-03,Одежда,Футболка,68181,3,204543,Москва,Новый
2024-07-17,Спорт,Мяч,39537,5,197685,Екатеринбург,Новый
2024-09-11,Спорт,Форма,98818,2,197636,Екатеринбург,Новый
2023-10-02,Электроника,Умные часы,867,6,5202,Москва,Новый
2023-03-09,Одежда,Куртка,9099,9,81891,Новосибирск,Постоянный
2023-08-29,Электроника,Умные часы,66345,5,331725,Москва,Постоянный
2024-11-29,Электроника,Ноутбук,73053,2,146106,СПб,Постоянный
2024-09-23,Дом и сад,Текстиль,85722,10,857220,Новосибирск,Постоянный
2023-08-26,Спорт,Мяч,26320,10,263200,Новосибирск,Новый
2024-09-08,Дом и сад,Инструменты,81928,10,819280,СПб,Постоянный
2024-02-26,Книги,Биография,72179,10,721790,Москва,Новый
2024-11-29,Книги,Биография,18783,6,112698,Казань,Новый
2023-06-04,Дом и сад,Текстиль,45349,10,453490,Казань,Новый
2024-08-11,Электроника,Планшет,75878,4,303512,Екатеринбург,Новый
2024-06-16,Спорт,Мяч,62772,10,627720,СПб,Постоянный
2023-10-16,Книги,Роман,76528,5,382640,СПб,Новый
2023-02-01,Книги,Учебник,43940,7,307580,СПб,Новый
2023-07-26,Спорт,Велосипед,14046,7,98322,Москва,Постоянный
2024-03-11,Спорт,Мяч,25534,7,178738,СПб,Новый
2023-05-09,Электроника,Ноутбук,78498,2,156996,СПб,Постоянный
2024-05-23,Спорт,Форма,57619,7,403333,СПб,Постоянный
2023-01-27,Дом и сад,Декор,35876,2,71752,Казань,Новый
2024-04-13,Книги,Учебник,9694,2,19388,Новосибирск,Постоянный
2024-04-25,Одежда,Кроссовки,85875,8,687000,Казань,Постоянный
2023-05-26,Книги,Биография,753,7,5271,Екатеринбург,Постоянный
2023-05-10,Одежда,Куртка,21642,7,151494,Екатеринбург,Новый
2023-08-24,Электроника,Наушники,17374,7,121618,Новосибирск,Новый
2023-10-08,Книги,Детектив,71103,3,213309,Москва,Новый
2024-01-13,Дом и сад,Посуда,65498,7,458486,Екатеринбург,Постоянный
2023-01-09,Дом и сад,Мебель,20467,1,20467,Казань,Новый
2023-06-22,Электроника,Ноутбук,19741,7,138187,СПб,Постоянный
2024-02-15,Спорт,Велосипед,58192,9,523728,Москва,Новый
2024-02-02,Электроника,Умные часы,47515,3,142545,Казань,Новый
2024-10-01,Одежда,Платье,54433,8,435464,Новосибирск,Постоянный
2023-05-24,Дом и сад,Мебель,80136,4,320544,Екатеринбург,Постоянный
2024-01-02,Книги,Роман,750,5,3750,Москва,Постоянный
2024-01-29,Спорт,Форма,80384,9,723456,Москва,Постоянный
2024-06-20,Дом и сад,Декор,32221,10,322210,СПб,Новый
2023-02-07,Книги,Детектив,82686,1,82686,Москва,Новый
2024-08-11,Книги,Учебник,96279,5,481395,Екатеринбург,Постоянный
2024-03-04,Одежда,Куртка,73862,10,738620,Новосибирск,Постоянный
2024-09-10,Дом и сад,Декор,35982,1,35982,Москва,Постоянный
2023-09-04,Спорт,Мяч,87199,6,523194,Новосибирск,Постоянный
2024-08-07,Спорт,Мяч,11021,6,66126,Екатеринбург,Новый
2023-05-01,Книги,Детектив,27770,9,249930,Москва,Постоянный
2024-07-09,Электроника,Наушники,2082,7,14574,Казань,Новый
2024-06-23,Одежда,Платье,73719,10,737190,Казань,Постоянный
2023-04-16,Электроника,Наушники,85191,6,511146,Екатеринбург,Новый
2023-01-29,Спорт,Мяч,23658,1,23658,Новосибирск,Постоянный
2024-04-15,Спорт,Коврик,47384,9,426456,СПб,Постоянный
2024-03-31,Спорт,Мяч,48569,7,339983,Екатеринбург,Новый
2024-07-18,Спорт,Гантели,6203,5,31015,СПб,Постоянный
2023-01-28,Электроника,Наушники,19686,1,19686,Екатеринбург,Новый
2024-05-17,Дом и сад,Инструменты,21903,8,175224,Казань,Постоянный
2023-09-25,Спорт,Велосипед,4384,5,21920,СПб,Новый
2024-03-26,Одежда,Джинсы,88589,2,177178,СПб,Постоянный
2023-12-07,Спорт,Форма,30606,4,122424,Казань,Постоянный
2024-09-06,Одежда,Футболка,92917,1,92917,Новосибирск,Постоянный
2024-03-08,Книги,Биография,10154,9,91386,Москва,Новый
2024-03-11,Книги,Роман,56268,7,393876,СПб,Новый
2023-01-30,Спорт,Мяч,73116,7,511812,Новосибирск,Новый
2024-01-03,Электроника,Наушники,89856,5,449280,Екатеринбург,Новый
2024-01-23,Одежда,Кроссовки,45627,1,45627,Новосибирск,Постоянный
2023-07-01,Книги,Роман,11576,8,92608,Екатеринбург,Постоянный
2023-06-08,Спорт,Мяч,64801,2,129602,СПб,Постоянный
2023-04-23,Спорт,Мяч,84555,6,507330,Москва,Постоянный
2023-06-22,Дом и сад,Текстиль,72724,7,509068,Москва,Постоянный
2023-02-22,Электроника,Наушники,74487,4,297948,Казань,Новый
2023-10-23,Электроника,Планшет,9316,7,65212,СПб,Новый
2024-04-03,Одежда,Футболка,9225,8,73800,Казань,Постоянный
2023-02-21,Книги,Учебник,68415,9,615735,Москва,Постоянный
2024-04-25,Дом и сад,Текстиль,41689,9,375201,Екатеринбург,Новый
2024-03-17,Дом и сад,Декор,13648,2,27296,Екатеринбург,Постоянный
2024-03-12,Одежда,Футболка,53458,8,427664,Новосибирск,Постоянный
2023-11-09,Книги,Детектив,59432,4,237728,Новосибирск,Постоянный
2023-03-31,Спорт,Коврик,57551,1,57551,СПб,Постоянный
2023-09-16,Одежда,Джинсы,51527,3,154581,Москва,Новый
2024-04-08,Электроника,Планшет,17742,10,177420,СПб,Постоянный
2023-02-16,Одежда,Футболка,33388,6,200328,Новосибирск,Новый
2023-06-17,Книги,Учебник,58067,4,232268,Казань,Новый
2023-04-08,Одежда,Футболка,23973,9,215757,СПб,Новый
2023-02-05,Электроника,Планшет,95691,4,382764,Казань,Новый
2023-09-01,Одежда,Футболка,80257,9,722313,Казань,Новый
2023-12-07,Книги,Учебник,21658,4,86632,Москва,Постоянный
2024-05-25,Электроника,Наушники,51585,7,361095,Казань,Постоянный
2024-03-22,Одежда,Футболка,27258,5,136290,СПб,Постоянный
2023-01-02,Электроника,Наушники,57850,3,173550,Казань,Новый
2023-02-16,Электроника,Наушники,53669,4,214676,Екатеринбург,Новый
2023-09-30,Одежда,Кроссовки,9912,10,99120,Новосибирск,Новый
2023-01-12,Дом и сад,Декор,12744,4,50976,СПб,Постоянный
2023-08-01,Книги,Детектив,40709,7,284963,Москва,Новый
2023-08-03,Спорт,Гантели,17098,3,51294,Москва,Новый
2024-02-02,Спорт,Мяч,91002,8,728016,Новосибирск,Постоянный
2024-08-28,Книги,Учебник,68549,7,479843,Новосибирск,Новый
2023-01-24,Дом и сад,Текстиль,73189,1,73189,СПб,Новый
2023-10-05,Одежда,Кроссовки,2408,1,2408,Москва,Постоянный
2023-09-09,Спорт,Гантели,77888,5,389440,Москва,Новый
2023-05-28,Электроника,Ноутбук,8625,5,43125,Москва,Постоянный
2023-06-30,Книги,Роман,24074,10,240740,СПб,Новый
2023-12-27,Дом и сад,Инструменты,97965,8,783720,Екатеринбург,Постоянный
2023-01-25,Книги,Детектив,902,2,1804,Казань,Постоянный
2024-06-22,Электроника,Планшет,81759,1,81759,СПб,Новый
2024-07-05,Книги,Биография,21901,10,219010,СПб,Постоянный
2024-05-12,Электроника,Ноутбук,31932,2,63864,Екатеринбург,Постоянный
2023-12-14,Спорт,Гантели,13022,1,13022,Екатеринбург,Новый
2024-03-04,Электроника,Смартфон,67878,5,339390,Новосибирск,Новый
2024-04-20,Книги,Роман,11307,9,101763,Москва,Постоянный
2023-05-12,Книги,Детектив,37501,6,225006,Екатеринбург,Постоянный
2023-06-06,Электроника,Ноутбук,32578,5,162890,Москва,Новый
2023-09-21,Дом и сад,Декор,4940,6,29640,Екатеринбург,Новый
2023-03-26,Одежда,Платье,77729,7,544103,Москва,Новый
2024-12-08,Дом и сад,Текстиль,10633,6,63798,Казань,Постоянный
2023-01-27,Дом и сад,Декор,74140,2,148280,Москва,Новый
2024-12-14,Спорт,Форма,37063,2,74126,Екатеринбург,Постоянный
2023-11-02,Дом и сад,Инструменты,74262,10,742620,Москва,Постоянный
2023-08-01,Одежда,Куртка,16512,6,99072,СПб,Новый
2024-08-07,Одежда,Куртка,31201,6,187206,Москва,Постоянный
2024-12-22,Книги,Роман,54655,6,327930,СПб,Новый
2023-07-30,Книги,Детектив,89922,10,899220,Казань,Постоянный
2023-07-10,Одежда,Кроссовки,56521,8,452168,Екатеринбург,Постоянный
2023-05-20,Электроника,Ноутбук,8225,10,82250,Новосибирск,Новый
2024-11-10,Электроника,Смартфон,23521,7,164647,СПб,Постоянный
2023-04-04,Одежда,Джинсы,58421,6,350526,Казань,Новый
2024-11-09,Электроника,Ноутбук,11470,7,80290,Москва,Новый
2024-11-15,Электроника,Ноутбук,25929,9,233361,Москва,Постоянный
2023-02-22,Дом и сад,Мебель,35294,8,282352,Новосибирск,Постоянный
2024-11-30,Электроника,Умные часы,28818,8,230544,Екатеринбург,Новый
2023-01-02,Электроника,Смартфон,35964,6,215784,СПб,Постоянный
2023-03-24,Электроника,Наушники,23892,8,191136,Екатеринбург,Постоянный
2024-01-03,Дом и сад,Посуда,29577,2,59154,Казань,Новый
2024-11-22,Одежда,Платье,68065,7,476455,Екатеринбург,Постоянный
2023-07-19,Книги,Детектив,20360,2,40720,Москва,Новый
2024-01-09,Дом и сад,Инструменты,88810,5,444050,Казань,Постоянный
2023-06-04,Одежда,Кроссовки,37530,3,112590,Новосибирск,Новый
2024-07-11,Книги,Детектив,34748,10,347480,Казань,Новый
2024-10-30,Электроника,Наушники,41971,7,293797,Москва,Постоянный
2024-08-04,Электроника,Наушники,62832,8,502656,Москва,Новый
2023-12-07,Дом и сад,Текстиль,83268,2,166536,Екатеринбург,Постоянный
2024-07-14,Электроника,Умные часы,96465,4,385860,СПб,Постоянный
2023-02-11,Одежда,Кроссовки,95738,1,95738,Казань,Новый
2023-09-06,Одежда,Кроссовки,61377,3,184131,Новосибирск,Новый
2023-07-29,Книги,Учебник,60608,9,545472,СПб,Постоянный
2024-08-28,Спорт,Форма,13266,3,39798,Москва,Новый
2024-09-06,Электроника,Наушники,88150,3,264450,Казань,Новый
2023-07-05,Электроника,Наушники,89254,6,535524,Новосибирск,Постоянный
2024-03-03,Книги,Фантастика,7005,4,28020,Казань,Постоянный
2024-03-19,Одежда,Джинсы,88390,4,353560,Новосибирск,Новый
2024-12-02,Электроника,Умные часы,90062,3,270186,Казань,Новый
2024-12-15,Одежда,Джинсы,72719,6,436314,Казань,Постоянный
2024-04-10,Электроника,Планшет,87526,3,262578,СПб,Постоянный
2023-06-28,Электроника,Планшет,15917,7,111419,СПб,Новый
2023-09-14,Спорт,Коврик,59805,10,598050,Новосибирск,Постоянный
2024-06-09,Книги,Детектив,61155,4,244620,Москва,Новый
2024-02-17,Одежда,Футболка,22477,5,112385,Новосибирск,Постоянный
2023-12-03,Одежда,Платье,60553,4,242212,Казань,Постоянный
2024-04-22,Спорт,Мяч,87274,2,174548,Екатеринбург,Новый
2023-01-18,Спорт,Велосипед,62867,5,314335,СПб,Новый
2024-05-19,Одежда,Футболка,58474,10,584740,Казань,Новый
2024-04-23,Электроника,Наушники,30121,10,301210,Москва,Постоянный
2024-03-02,Одежда,Платье,97097,6,582582,Новосибирск,Постоянный
2024-07-15,Электроника,Ноутбук,40084,9,360756,Москва,Постоянный
2024-01-13,Книги,Учебник,13893,3,41679,Новосибирск,Новый
2023-06-29,Спорт,Коврик,69399,3,208197,Новосибирск,Постоянный
2024-05-13,Книги,Фантастика,30384,6,182304,Казань,Постоянный
2023-09-01,Спорт,Велосипед,47234,3,141702,Екатеринбург,Новый
2023-01-26,Дом и сад,Мебель,7979,3,23937,Москва,Постоянный
2024-02-04,Книги,Учебник,62218,1,62218,Казань,Постоянный
2023-02-04,Дом и сад,Текстиль,67220,9,604980,Москва,Постоянный
2023-11-03,Электроника,Умные часы,7197,2,14394,Москва,Постоянный
2024-05-12,Книги,Роман,62894,4,251576,Новосибирск,Новый
2023-07-02,Дом и сад,Мебель,76610,10,766100,Екатеринбург,Постоянный
2024-09-21,Книги,Биография,12248,10,122480,СПб,Постоянный
2024-01-04,Одежда,Футболка,73516,5,367580,Казань,Новый
2024-06-06,Спорт,Гантели,30382,1,30382,Новосибирск,Новый
2023-09-25,Дом и сад,Текстиль,83245,3,249735,Екатеринбург,Постоянный
2024-05-07,Электроника,Смартфон,16182,7,113274,Екатеринбург,Постоянный
2024-08-08,Одежда,Платье,84518,9,760662,СПб,Новый
2023-11-18,Дом и сад,Мебель,91698,10,916980,Новосибирск,Постоянный
2023-02-09,Книги,Роман,29557,8,236456,Москва,Постоянный
2024-12-05,Книги,Учебник,9824,8,78592,Екатеринбург,Новый
2023-05-10,Спорт,Гантели,69445,10,694450,Москва,Новый
2024-01-16,Одежда,Куртка,9919,3,29757,СПб,Новый
2024-06-18,Спорт,Коврик,54796,7,383572,Екатеринбург,Постоянный
2024-10-20,Электроника,Планшет,8939,1,8939,Москва,Постоянный
2024-04-28,Электроника,Ноутбук,61701,3,185103,Казань,Новый
2023-08-10,Спорт,Коврик,67974,2,135948,Новосибирск,Новый
2024-10-21,Электроника,Наушники,97834,1,97834,Новосибирск,Новый
2023-07-03,Одежда,Кроссовки,94450,8,755600,Москва,Постоянный
2024-03-24,Спорт,Форма,90243,4,360972,Новосибирск,Постоянный
2023-10-30,Книги,Фантастика,99707,8,797656,Москва,Постоянный
2023-03-06,Дом и сад,Посуда,86974,7,608818,Казань,Постоянный
2023-04-03,Электроника,Ноутбук,2796,9,25164,СПб,Новый
2023-05-04,Одежда,Куртка,23524,9,211716,Москва,Новый
2023-01-06,Электроника,Ноутбук,58780,10,587800,СПб,Постоянный
2024-06-08,Дом и сад,Посуда,60004,2,120008,Казань,Постоянный
2024-07-08,Книги,Фантастика,52972,7,370804,Екатеринбург,Постоянный
2023-11-11,Книги,Фантастика,15108,8,120864,Екатеринбург,Новый
2023-06-17,Спорт,Коврик,84450,5,422250,СПб,Постоянный
2023-01-01,Книги,Биография,83577,9,752193,Москва,Новый
2023-12-26,Книги,Роман,41177,7,288239,Казань,Новый
2024-11-02,Дом и сад,Мебель,92356,6,554136,Казань,Постоянный
2024-04-30,Книги,Биография,41264,9,371376,СПб,Постоянный
2023-09-01,Дом и сад,Инструменты,23387,10,233870,СПб,Новый
2024-01-22,Одежда,Футболка,63376,1,63376,СПб,Постоянный
2023-03-27,Дом и сад,Посуда,22254,4,89016,Новосибирск,Новый
2024-08-25,Электроника,Планшет,22551,9,202959,Казань,Новый
2023-02-14,Спорт,Мяч,92276,1,92276,Екатеринбург,Новый
2023-07-14,Электроника,Умные часы,82172,1,82172,СПб,Новый
2023-10-09,Дом и сад,Мебель,17358,6,104148,Москва,Новый
2024-09-26,Дом и сад,Текстиль,62638,3,187914,СПб,Постоянный
2024-05-13,Электроника,Наушники,28563,2,57126,Казань,Постоянный
2023-10-15,Электроника,Смартфон,71166,2,142332,Москва,Новый
2023-01-02,Электроника,Смартфон,27644,6,165864,СПб,Постоянный
2023-06-08,Электроника,Ноутбук,87482,1,87482,СПб,Новый
2023-01-23,Книги,Роман,94878,7,664146,Москва,Постоянный
2024-04-20,Спорт,Форма,51824,6,310944,Новосибирск,Новый
2024-07-05,Одежда,Джинсы,97514,5,487570,Екатеринбург,Постоянный
2023-01-27,Спорт,Гантели,98867,9,889803,Екатеринбург,Новый
2024-02-06,Электроника,Умные часы,34217,1,34217,Новосибирск,Новый
2024-03-15,Книги,Фантастика,8411,9,75699,Москва,Новый
2024-03-18,Электроника,Умные часы,19395,7,135765,Екатеринбург,Новый
2023-05-11,Дом и сад,Инструменты,73542,3,220626,Новосибирск,Постоянный
2024-06-12,Спорт,Велосипед,81056,3,243168,Казань,Постоянный
2023-10-19,Электроника,Наушники,55909,8,447272,СПб,Постоянный
2023-02-27,Дом и сад,Посуда,13754,5,68770,Екатеринбург,Постоянный
2023-03-01,Дом и сад,Посуда,29591,8,236728,Казань,Новый
2024-01-25,Дом и сад,Мебель,41383,7,289681,Казань,Постоянный
2024-11-14,Одежда,Футболка,39108,1,39108,Казань,Постоянный
2024-02-24,Дом и сад,Мебель,34877,7,244139,Новосибирск,Новый
2023-12-08,Дом и сад,Декор,88530,2,177060,СПб,Постоянный
2023-12-10,Электроника,Смартфон,45782,6,274692,СПб,Постоянный
2024-09-25,Электроника,Наушники,10062,5,50310,Москва,Новый
2024-03-30,Спорт,Форма,49329,5,246645,СПб,Новый
2023-02-16,Электроника,Планшет,36585,6,219510,Казань,Новый
2023-01-27,Спорт,Велосипед,61690,8,493520,Казань,Новый
2023-03-11,Книги,Фантастика,82832,4,331328,Москва,Новый
2024-05-03,Книги,Детектив,73772,8,590176,СПб,Новый
2024-05-16,Спорт,Мяч,22542,5,112710,Екатеринбург,Постоянный
2023-07-12,Спорт,Форма,77674,7,543718,Екатеринбург,Новый
2023-03-31,Одежда,Платье,55010,5,275050,Екатеринбург,Новый
2023-05-09,Дом и сад,Декор,18071,9,162639,Москва,Новый
2023-04-24,Электроника,Смартфон,77024,5,385120,СПб,Постоянный
2023-05-18,Книги,Детектив,59619,6,357714,СПб,Постоянный
2024-07-04,Дом и сад,Текстиль,3589,5,17945,Екатеринбург,Новый
2023-04-21,Спорт,Гантели,49858,1,49858,СПб,Постоянный
2024-01-19,Одежда,Кроссовки,93222,10,932220,СПб,Новый
2024-10-15,Электроника,Смартфон,38858,8,310864,Казань,Новый
2024-07-16,Книги,Биография,75987,10,759870,Казань,Новый
2023-04-07,Спорт,Мяч,94825,10,948250,Новосибирск,Новый
2023-12-18,Дом и сад,Посуда,50225,8,401800,Новосибирск,Новый
2024-03-09,Книги,Фантастика,64795,2,129590,Казань,Новый
2023-06-17,Спорт,Коврик,16727,6,100362,Новосибирск,Новый
2023-03-11,Электроника,Планшет,55696,8,445568,Казань,Новый
2024-04-18,Спорт,Коврик,4852,6,29112,Казань,Постоянный
2024-10-28,Одежда,Джинсы,93567,5,467835,Москва,Новый
2024-12-22,Спорт,Гантели,95458,9,859122,Екатеринбург,Постоянный
2024-09-02,Дом и сад,Текстиль,83809,2,167618,СПб,Новый
2024-12-26,Книги,Фантастика,74215,7,519505,Казань,Новый
2023-12-01,Книги,Фантастика,42095,5,210475,Екатеринбург,Новый
2024-11-07,Электроника,Ноутбук,873,5,4365,СПб,Новый
2024-05-23,Книги,Учебник,88157,2,176314,Москва,Новый
2024-10-22,Дом и сад,Текстиль,57918,2,115836,Казань,Новый
2024-04-08,Спорт,Велосипед,71925,8,575400,Новосибирск,Новый
2024-12-01,Одежда,Кроссовки,45998,3,137994,Новосибирск,Постоянный
2023-09-02,Дом и сад,Декор,61338,2,122676,Екатеринбург,Новый
2023-10-24,Книги,Биография,33189,4,132756,СПб,Новый
2024-08-26,Спорт,Гантели,34303,10,343030,Москва,Постоянный
2024-07-10,Книги,Биография,32794,6,196764,Москва,Новый
2024-05-16,Электроника,Наушники,16862,2,33724,Екатеринбург,Новый
2023-01-06,Спорт,Коврик,20840,9,187560,СПб,Новый
2024-01-03,Одежда,Джинсы,93821,10,938210,Новосибирск,Новый
2024-08-27,Дом и сад,Инструменты,80605,8,644840,Москва,Постоянный
2024-03-23,Спорт,Гантели,19634,7,137438,СПб,Новый
2024-05-28,Электроника,Ноутбук,86907,4,347628,Казань,Постоянный
2024-01-03,Книги,Учебник,83434,5,417170,СПб,Постоянный
2023-09-12,Электроника,Планшет,91595,4,366380,Новосибирск,Постоянный
2023-05-22,Книги,Детектив,21673,7,151711,Новосибирск,Постоянный
2024-03-03,Дом и сад,Текстиль,36321,3,108963,СПб,Постоянный
2024-09-22,Электроника,Ноутбук,60219,10,602190,Новосибирск,Постоянный
2024-04-01,Электроника,Смартфон,35470,2,70940,Новосибирск,Новый
2024-05-04,Книги,Биография,15121,4,60484,Екатеринбург,Постоянный
2023-06-02,Одежда,Футболка,31415,6,188490,Москва,Новый
2024-05-17,Одежда,Джинсы,49438,4,197752,Екатеринбург,Новый
2024-11-05,Книги,Учебник,19624,9,176616,Екатеринбург,Новый
2024-07-23,Дом и сад,Текстиль,20465,5,102325,СПб,Новый
2024-01-19,Электроника,Умные часы,53584,3,160752,Новосибирск,Постоянный
2023-07-04,Электроника,Умные часы,76087,10,760870,Екатеринбург,Новый
2023-11-20,Электроника,Умные часы,72005,7,504035,Москва,Новый
2024-11-07,Дом и сад,Декор,94465,10,944650,Новосибирск,Новый
2023-02-02,Спорт,Гантели,75889,5,379445,Новосибирск,Постоянный
2023-03-07,Дом и сад,Инструменты,1884,2,3768,Казань,Новый
2024-10-09,Книги,Биография,19845,7,138915,СПб,Новый
2023-12-19,Одежда,Кроссовки,42166,10,421660,Москва,Постоянный
2024-05-10,Электроника,Смартфон,35045,5,175225,Новосибирск,Постоянный
2023-05-12,Дом и сад,Текстиль,67515,9,607635,Новосибирск,Постоянный
2023-08-11,Электроника,Планшет,17122,8,136976,СПб,Новый
2024-04-29,Дом и сад,Текстиль,35734,6,214404,Казань,Постоянный
2024-04-18,Одежда,Кроссовки,35448,8,283584,Екатеринбург,Новый
2023-07-15,Одежда,Платье,64740,8,517920,Москва,Новый
2023-08-14,Спорт,Форма,50483,10,504830,СПб,Постоянный
2023-07-18,Одежда,Платье,92512,1,92512,Москва,Постоянный
2023-03-03,Спорт,Гантели,24848,3,74544,Казань,Постоянный
2024-04-14,Спорт,Мяч,25260,9,227340,Казань,Постоянный
2023-12-17,Спорт,Мяч,95967,8,767736,СПб,Постоянный
2024-04-04,Спорт,Мяч,71911,10,719110,СПб,Постоянный
2023-10-15,Спорт,Коврик,54042,4,216168,Москва,Постоянный
2024-03-21,Одежда,Джинсы,37696,1,37696,Москва,Постоянный
2024-04-27,Электроника,Наушники,77595,8,620760,Новосибирск,Постоянный
2023-03-18,Дом и сад,Мебель,45213,1,45213,Екатеринбург,Постоянный
2023-10-07,Книги,Детектив,44295,1,44295,Новосибирск,Постоянный
2024-08-29,Электроника,Планшет,43336,10,433360,Новосибирск,Новый
2024-10-01,Одежда,Куртка,21780,4,87120,Екатеринбург,Новый
2024-05-25,Электроника,Планшет,50874,4,203496,Казань,Новый
2024-04-15,Одежда,Платье,9702,6,58212,Казань,Новый
2024-02-10,Книги,Биография,15367,2,30734,Екатеринбург,Новый
2024-04-13,Одежда,Платье,30736,9,276624,Новосибирск,Постоянный
2024-02-29,Книги,Биография,22111,10,221110,Москва,Новый
2024-12-06,Книги,Детектив,39385,3,118155,Казань,Постоянный
2024-07-28,Спорт,Мяч,61045,3,183135,Екатеринбург,Постоянный
2023-06-28,Одежда,Футболка,58254,3,174762,Екатеринбург,Постоянный
2024-08-11,Спорт,Гантели,31941,8,255528,Казань,Постоянный
2024-06-19,Дом и сад,Декор,36671,10,366710,Москва,Новый
2024-07-15,Электроника,Планшет,77291,9,695619,Новосибирск,Постоянный
2024-06-06,Одежда,Кроссовки,57590,3,172770,Екатеринбург,Постоянный
2023-09-16,Книги,Биография,44226,10,442260,Екатеринбург,Постоянный
2024-02-16,Спорт,Гантели,8795,10,87950,Новосибирск,Постоянный
2023-12-23,Книги,Детектив,68730,7,481110,Казань,Новый
2023-09-29,Электроника,Наушники,24081,6,144486,Москва,Постоянный
2023-09-02,Спорт,Велосипед,5013,10,50130,Екатеринбург,Новый
2024-09-24,Электроника,Ноутбук,19057,7,133399,Екатеринбург,Постоянный
2024-12-05,Дом и сад,Инструменты,51414,4,205656,Новосибирск,Постоянный
2024-06-21,Книги,Фантастика,97118,2,194236,Казань,Новый
2023-10-09,Спорт,Форма,36146,1,36146,Казань,Новый
2023-09-06,Дом и сад,Текстиль,97045,4,388180,СПб,Постоянный
2024-05-03,Дом и сад,Посуда,57137,2,114274,Новосибирск,Новый
2024-05-24,Спорт,Мяч,4958,4,19832,Екатеринбург,Постоянный
2023-03-05,Электроника,Наушники,27053,6,162318,Новосибирск,Постоянный
2024-02-01,Книги,Детектив,50323,9,452907,СПб,Новый
2023-06-19,Электроника,Умные часы,54936,7,384552,Казань,Постоянный
2023-09-28,Одежда,Куртка,22671,3,68013,Казань,Новый
2023-11-13,Спорт,Мяч,10855,6,65130,Новосибирск,Постоянный
2023-11-09,Книги,Фантастика,17145,6,102870,Москва,Новый
